id,name,lat,long,estimate
1,Alabama,32.806671,-86.79113,4903185
2,Alaska,61.370716,-152.404419,731545
3,Arizona,33.729759,-111.431221,7278717
4,Arkansas,34.969704,-92.373123,3017804
5,California,36.116203,-119.681564,39512223
6,Colorado,39.059811,-105.311104,5758736
7,Connecticut,41.597782,-72.755371,3565287
8,Delaware,39.318523,-75.507141,973764
9,Florida,27.766279,-81.686783,21477737
10,Georgia,33.040619,-83.643074,10617423
11,Hawaii,21.094318,-157.498337,1415872
12,Idaho,44.240459,-114.478828,1787065
13,Illinois,40.349457,-88.986137,12671821
14,Indiana,39.849426,-86.258278,6732219
15,Iowa,42.011539,-93.210526,3155070
16,Kansas,38.5266,-96.726486,2913314
17,Kentucky,37.66814,-84.670067,4467673
18,Louisiana,31.169546,-91.867805,4648794
19,Maine,44.693947,-69.381927,1344212
20,Maryland,39.063946,-76.802101,6045680
21,Massachusetts,42.230171,-71.530106,6892503
22,Michigan,43.326618,-84.536095,9986857
23,Minnesota,45.694454,-93.900192,5639632
24,Mississippi,32.741646,-89.678696,2976149
25,Missouri,38.456085,-92.288368,6137428
26,Montana,46.921925,-110.454353,1068778
27,Nebraska,41.12537,-98.268082,1934408
28,Nevada,38.313515,-117.055374,3080156
29,New Hampshire,43.452492,-71.563896,1359711
30,New Jersey,40.298904,-74.521011,8882190
31,New Mexico,34.840515,-106.248482,2096829
32,New York,42.165726,-74.948051,19453561
33,North Carolina,35.630066,-79.806419,10488084
34,North Dakota,47.528912,-99.784012,762062
35,Ohio,40.388783,-82.764915,11689100
36,Oklahoma,35.565342,-96.928917,3956971
37,Oregon,44.572021,-122.070938,4217737
38,Pennsylvania,40.590752,-77.209755,12801989
39,Rhode Island,41.680893,-71.51178,1059361
40,South Carolina,33.856892,-80.945007,5148714
41,South Dakota,44.299782,-99.438828,884659
42,Tennessee,35.747845,-86.692345,6829174
43,Texas,31.054487,-97.563461,28995881
44,Utah,40.150032,-111.862434,3205958
45,Vermont,44.045876,-72.710686,623989
46,Virginia,37.769337,-78.169968,8535519
47,Washington,47.400902,-121.490494,7614893
48,West Virginia,38.491226,-80.954453,1792147
49,Wisconsin,44.268543,-89.616508,5822434
50,Wyoming,42.755966,-107.30249,578759
